schedule_list,,,,
Road Team ID,Home Team ID,Day of Month,Month,Year Offset
3,0,5,10,0
100,1,5,10,0
102,2,5,10,0
101,103,5,10,0
1,0,6,10,0
3,2,6,10,0
101,100,6,10,0
103,102,6,10,0
100,102,8,10,0
2,103,8,10,0
103,1,10,10,0
3,100,10,10,0
102,101,10,10,0
1,0,12,10,0
100,2,12,10,0
101,3,12,10,0
103,102,12,10,0
103,1,13,10,0
0,2,13,10,0
101,100,13,10,0
3,102,13,10,0
2,0,16,10,0
102,1,16,10,0
103,3,16,10,0
100,101,16,10,0
101,0,19,10,0
1,2,19,10,0
102,3,19,10,0
103,100,19,10,0
1,0,20,10,0
3,2,20,10,0
102,100,20,10,0
103,101,20,10,0
100,102,22,10,0
3,103,22,10,0
2,0,23,10,0
103,1,23,10,0
3,100,23,10,0
101,102,23,10,0
102,1,25,10,0
101,2,25,10,0
0,3,25,10,0
100,103,26,10,0
102,0,27,10,0
3,2,27,10,0
101,100,27,10,0
1,103,27,10,0
2,0,30,10,0
1,3,30,10,0
103,101,30,10,0
100,102,30,10,0
103,2,2,11,0
1,3,2,11,0
102,100,2,11,0
0,101,2,11,0
0,1,3,11,0
2,3,3,11,0
103,100,3,11,0
102,101,3,11,0
3,0,6,11,0
1,2,6,11,0
100,101,6,11,0
102,103,6,11,0
100,102,9,11,0
101,103,9,11,0
2,0,7,11,0
100,1,7,11,0
101,3,7,11,0
102,103,7,11,0
1,0,10,11,0
102,2,10,11,0
3,100,10,11,0
103,101,10,11,0
3,0,13,11,0
1,100,13,11,0
2,101,13,11,0
102,103,13,11,0
101,0,16,11,0
103,2,16,11,0
102,3,16,11,0
1,100,16,11,0
2,1,17,11,0
0,3,17,11,0
103,100,17,11,0
101,102,17,11,0
3,0,20,11,0
2,100,20,11,0
1,101,20,11,0
1,2,22,11,0
100,3,22,11,0
0,102,22,11,0
101,103,22,11,0
2,1,24,11,0
101,100,24,11,0
3,102,24,11,0
0,103,24,11,0
0,2,27,11,0
1,3,27,11,0
100,101,27,11,0
3,2,30,11,0
0,100,30,11,0
1,101,30,11,0
103,102,30,11,0
102,0,1,12,0
2,1,1,12,0
103,3,1,12,0
100,101,1,12,0
0,1,3,12,0
2,3,3,12,0
101,102,4,12,0
100,103,4,12,0
1,3,6,12,0
103,100,6,12,0
0,101,7,12,0
2,102,7,12,0
102,0,8,12,0
3,1,8,12,0
2,101,8,12,0
100,103,8,12,0
0,2,11,12,0
1,3,11,12,0
101,102,11,12,0
100,1,14,12,0
102,2,14,12,0
103,3,14,12,0
0,101,14,12,0
102,0,15,12,0
2,1,15,12,0
3,101,15,12,0
100,103,15,12,0
0,2,17,12,0
1,100,17,12,0
3,101,17,12,0
100,3,21,12,0
0,101,21,12,0
1,102,21,12,0
2,103,21,12,0
101,0,22,12,0
2,1,22,12,0
100,3,22,12,0
102,103,22,12,0
0,3,24,12,0
1,100,24,12,0
2,101,24,12,0
0,2,28,12,0
100,3,28,12,0
1,101,28,12,0
102,103,28,12,0
3,1,29,12,0
2,100,29,12,0
102,101,29,12,0
0,103,29,12,0
0,2,1,1,1
1,100,1,1,1
3,101,1,1,1
2,1,4,1,1
100,3,4,1,1
102,101,4,1,1
0,103,4,1,1
102,1,5,1,1
2,3,5,1,1
101,100,5,1,1
0,103,5,1,1
0,3,8,1,1
2,100,8,1,1
1,101,8,1,1
1,2,10,1,1
0,3,11,1,1
101,100,10,1,1
103,102,11,1,1
1,3,12,1,1
100,101,12,1,1
2,102,12,1,1
0,103,12,1,1
0,3,15,1,1
2,100,15,1,1
1,101,15,1,1
0,1,18,1,1
3,2,17,1,1
103,100,18,1,1
101,102,17,1,1
102,0,19,1,1
3,100,19,1,1
2,101,19,1,1
1,103,19,1,1
0,100,22,1,1
3,101,22,1,1
1,102,22,1,1
2,103,22,1,1
0,1,25,1,1
102,100,24,1,1
2,101,25,1,1
3,103,25,1,1
1,2,26,1,1
101,3,26,1,1
103,100,26,1,1
0,102,26,1,1
0,100,29,1,1
3,101,29,1,1
1,102,29,1,1
2,103,29,1,1
103,0,1,2,1
100,1,1,2,1
3,2,1,2,1
102,101,1,2,1
1,2,2,2,1
0,100,2,2,1
103,101,2,2,1
3,102,2,2,1
2,100,5,2,1
0,101,5,2,1
1,102,5,2,1
3,103,5,2,1
0,1,8,2,1
103,2,8,2,1
3,100,8,2,1
101,102,8,2,1
0,1,9,2,1
100,2,9,2,1
101,3,9,2,1
103,102,9,2,1
0,100,12,2,1
1,102,12,2,1
101,103,12,2,1
100,0,15,2,1
3,1,15,2,1
102,2,15,2,1
103,101,15,2,1
1,0,16,2,1
101,2,16,2,1
102,3,16,2,1
100,103,16,2,1
0,102,19,2,1
1,103,19,2,1
100,0,21,2,1
3,1,21,2,1
103,2,21,2,1
102,101,22,2,1
101,0,23,2,1
100,1,23,2,1
103,2,23,2,1
102,3,23,2,1
0,102,26,2,1
1,103,26,2,1
1,0,1,3,1
100,2,1,3,1
101,3,1,3,1
103,102,1,3,1
2,0,2,3,1
3,1,2,3,1
102,100,2,3,1
103,101,2,3,1
3,102,5,3,1
1,103,5,3,1
101,0,7,3,1
103,1,7,3,1
100,2,8,3,1
102,3,8,3,1
3,0,9,3,1
102,1,9,3,1
101,2,9,3,1
100,103,9,3,1
0,102,12,3,1
101,103,12,3,1
103,0,15,3,1
3,1,15,3,1
102,2,14,3,1
100,101,14,3,1
3,0,16,3,1
101,1,16,3,1
100,2,16,3,1
102,103,16,3,1
2,102,19,3,1
101,103,19,3,1
103,0,22,3,1
101,1,21,3,1
2,3,21,3,1
102,100,22,3,1
103,0,23,3,1
101,1,23,3,1
2,3,23,3,1
102,100,23,3,1
